,Unnamed: 0,X2,X3,X5,X9,"Y(1=default, 0=non-default)",odds
0,0,6,4,5,1,0,-3.0300000000000002
1,1,48,2,1,1,1,0.6240000000000001
2,2,12,4,1,1,0,-1.5679999999999998
3,3,42,2,1,2,0,0.6030000000000002
4,4,24,3,1,4,1,-0.11499999999999999
5,5,36,2,5,4,0,-0.48099999999999965
6,6,24,2,3,2,0,-0.6530000000000001
7,7,36,2,1,3,0,0.5820000000000001
8,8,12,2,4,1,0,-1.575
9,9,30,4,1,3,1,-0.56
10,10,12,2,1,3,1,-0.258
11,11,48,2,1,2,1,0.8130000000000002
12,12,12,2,1,3,0,-0.258
13,13,24,4,1,3,1,-0.77
14,14,15,2,1,3,0,-0.15300000000000002
15,15,24,2,2,3,1,-0.15100000000000002
16,16,24,4,5,2,0,-2.211
17,17,30,0,5,3,0,0.052000000000000046
18,18,24,2,1,4,1,0.35100000000000003
19,19,24,2,3,3,0,-0.4640000000000002
20,20,9,4,1,3,0,-1.295
21,21,6,2,3,1,0,-1.472
22,22,10,4,1,1,0,-1.638
23,23,12,4,2,2,0,-1.6919999999999997
24,24,10,4,5,3,0,-2.5119999999999996
25,25,6,2,1,1,0,-0.8459999999999999
26,26,6,0,1,3,0,0.46399999999999997
27,27,12,1,4,1,0,-1.109
28,28,7,2,1,1,0,-0.8109999999999999
29,29,60,3,1,4,1,1.145
30,30,18,2,4,1,0,-1.3649999999999998
31,31,24,2,1,3,0,0.16199999999999998
32,32,18,2,2,3,0,-0.361
33,33,12,4,5,4,0,-2.253
34,34,12,2,1,2,0,-0.44699999999999995
35,35,45,4,1,2,1,-0.22399999999999987
36,36,48,4,1,4,0,0.25900000000000006
37,37,18,2,1,1,1,-0.426
38,38,10,2,1,3,0,-0.32800000000000007
39,39,9,2,1,1,0,-0.7409999999999999
40,40,30,2,3,3,0,-0.2540000000000001
41,41,12,2,3,3,0,-0.8840000000000001
42,42,18,3,1,1,0,-0.8919999999999999
43,43,30,4,2,3,0,-0.873
44,44,48,4,1,4,1,0.25900000000000006
45,45,11,4,1,3,0,-1.225
46,46,36,2,3,3,0,-0.04399999999999993
47,47,6,2,3,2,0,-1.283
48,48,11,4,1,2,0,-1.4140000000000001
49,49,12,2,2,1,0,-0.9489999999999998
50,50,24,3,5,2,0,-1.745
51,51,27,3,1,3,0,-0.19900000000000007
52,52,12,2,1,3,0,-0.258
53,53,18,2,5,2,0,-1.4889999999999999
54,54,36,3,1,4,1,0.3050000000000001
55,55,6,1,5,1,0,-1.632
56,56,12,2,5,4,1,-1.321
57,57,36,4,1,3,0,-0.34999999999999987
58,58,18,2,1,3,0,-0.04800000000000004
59,59,36,4,1,4,1,-0.1609999999999998
60,60,9,2,1,1,0,-0.7409999999999999
61,61,15,4,5,1,0,-2.715
62,62,36,0,1,4,1,1.7030000000000003
63,63,48,0,1,3,1,1.9340000000000002
64,64,24,2,1,2,0,-0.02699999999999997
65,65,27,2,5,2,0,-1.174
66,66,12,2,1,3,0,-0.258
67,67,12,2,4,1,0,-1.575
68,68,36,2,1,4,1,0.7710000000000001
69,69,36,2,5,3,0,-0.6699999999999997
70,70,36,2,1,2,0,0.3930000000000002
71,71,7,4,5,2,0,-2.806
72,72,8,4,1,4,0,-1.141
73,73,42,4,1,1,0,-0.5179999999999998
74,74,36,2,5,4,1,-0.48099999999999965
75,75,12,4,1,4,0,-1.001
76,76,42,2,1,3,1,0.792
77,77,11,3,1,2,0,-0.9480000000000001
78,78,54,0,5,2,0,0.7030000000000002
79,79,30,2,1,2,0,0.183
80,80,24,2,5,3,1,-1.09
81,81,15,2,3,2,0,-0.9680000000000001
82,82,18,2,2,2,0,-0.5499999999999999
83,83,24,2,1,1,0,-0.21599999999999997
84,84,10,2,1,1,0,-0.706
85,85,12,4,1,1,0,-1.5679999999999998
86,86,18,4,1,2,0,-1.169
87,87,36,2,2,4,1,0.4580000000000002
88,88,18,2,2,3,0,-0.361
89,89,12,0,1,1,1,0.29600000000000004
90,90,12,4,1,1,0,-1.5679999999999998
91,91,12,4,1,1,0,-1.5679999999999998
92,92,12,4,5,2,1,-2.631
93,93,24,4,5,4,0,-1.833
94,94,12,2,4,1,0,-1.575
95,95,54,0,1,4,1,2.333
96,96,12,4,5,3,0,-2.442
97,97,18,2,2,3,0,-0.361
98,98,36,4,1,1,0,-0.7279999999999998
99,99,20,3,5,2,0,-1.8849999999999998
100,100,24,2,2,1,0,-0.5289999999999999
101,101,36,2,1,3,0,0.5820000000000001
102,102,6,3,1,1,0,-1.312
103,103,9,4,1,3,0,-1.295
104,104,12,2,5,3,0,-1.51
105,105,24,4,1,3,1,-0.77
106,106,18,1,1,4,1,0.6070000000000001
107,107,12,2,1,3,0,-0.258
108,108,24,2,5,2,0,-1.279
109,109,14,2,3,1,0,-1.192
110,110,6,3,2,3,0,-1.247
111,111,15,2,1,2,0,-0.34199999999999997
112,112,18,2,1,1,0,-0.426
113,113,36,4,1,1,1,-0.7279999999999998
114,114,12,2,3,1,0,-1.262
115,115,48,4,5,1,0,-1.5599999999999998
116,116,42,2,5,3,1,-0.45999999999999974
117,117,10,4,5,1,0,-2.8899999999999997
118,118,33,4,3,3,1,-1.0810000000000002
119,119,12,4,3,3,0,-1.816
120,120,21,2,1,1,1,-0.321
121,121,24,4,1,3,0,-0.77
122,122,12,2,1,1,0,-0.6359999999999999
123,123,10,4,1,4,0,-1.071
124,124,18,2,5,1,1,-1.678
125,125,12,4,1,2,0,-1.379
126,126,12,2,1,1,0,-0.6359999999999999
127,127,12,2,1,3,1,-0.258
128,128,12,4,1,3,0,-1.19
129,129,12,4,1,1,1,-1.5679999999999998
130,130,48,2,5,3,0,-0.2499999999999999
131,131,36,3,1,2,1,-0.0729999999999999
132,132,15,2,1,2,0,-0.34199999999999997
133,133,18,2,1,4,0,0.14100000000000001
134,134,60,2,2,1,0,0.7310000000000001
135,135,12,4,5,1,0,-2.82
136,136,27,3,4,3,0,-1.1380000000000001
137,137,12,2,3,1,1,-1.262
138,138,15,4,5,1,0,-2.715
139,139,12,2,1,3,0,-0.258
140,140,6,2,4,1,0,-1.785
141,141,36,2,1,4,0,0.7710000000000001
142,142,27,2,1,3,0,0.26699999999999996
143,143,18,2,1,3,1,-0.04800000000000004
144,144,21,4,1,2,0,-1.064
145,145,48,1,2,3,0,1.1550000000000002
146,146,6,4,1,4,0,-1.211
147,147,12,4,2,3,0,-1.503
148,148,36,4,1,2,0,-0.5389999999999998
149,149,18,4,4,3,0,-1.9189999999999998
150,150,6,2,2,4,0,-0.5919999999999999
151,151,10,2,1,2,0,-0.517
152,152,36,2,1,3,0,0.5820000000000001
153,153,24,4,4,4,0,-1.5199999999999998
154,154,24,3,2,3,0,-0.6170000000000002
155,155,12,2,1,3,1,-0.258
156,156,9,4,2,1,0,-1.9859999999999998
157,157,12,1,1,3,0,0.20799999999999996
158,158,24,2,2,3,0,-0.15100000000000002
159,159,6,4,5,1,0,-3.0300000000000002
160,160,24,4,2,1,0,-1.4609999999999999
161,161,18,4,1,2,0,-1.169
162,162,15,2,3,2,0,-0.9680000000000001
163,163,10,2,1,4,0,-0.139
164,164,36,2,3,2,0,-0.23299999999999987
165,165,6,2,3,3,0,-1.094
166,166,18,2,1,3,1,-0.04800000000000004
167,167,11,2,4,1,0,-1.6099999999999999
168,168,24,2,1,2,0,-0.02699999999999997
169,169,24,4,1,1,1,-1.148
170,170,15,0,1,3,1,0.7789999999999999
171,171,12,2,1,1,0,-0.6359999999999999
172,172,24,3,1,2,1,-0.493
173,173,8,2,1,1,0,-0.776
174,174,21,3,1,2,1,-0.598
175,175,30,1,5,1,1,-0.7919999999999998
176,176,12,2,1,3,0,-0.258
177,177,6,4,3,3,0,-2.026
178,178,12,2,1,3,0,-0.258
179,179,21,4,1,1,0,-1.253
180,180,36,3,1,3,1,0.11600000000000005
181,181,36,3,1,1,1,-0.2619999999999999
182,182,21,1,5,2,1,-0.9179999999999998
183,183,24,4,4,1,0,-2.0869999999999997
184,184,18,4,1,3,1,-0.98
185,185,15,4,1,2,0,-1.274
186,186,9,1,1,4,1,0.29200000000000004
187,187,16,4,1,3,0,-1.05
188,188,12,2,2,2,1,-0.7599999999999999
189,189,18,0,1,3,0,0.8840000000000001
190,190,24,2,4,2,1,-0.9659999999999999
191,191,48,0,2,4,1,1.8100000000000003
192,192,27,2,1,3,1,0.26699999999999996
193,193,6,2,1,1,0,-0.8459999999999999
194,194,45,2,2,2,1,0.39500000000000013
195,195,9,4,1,3,1,-1.295
196,196,6,4,1,3,0,-1.4000000000000001
197,197,12,2,2,3,1,-0.571
198,198,24,2,5,4,0,-0.901
199,199,18,3,1,4,1,-0.32499999999999996
200,200,9,4,3,3,0,-1.921
201,201,12,2,1,1,0,-0.6359999999999999
202,202,27,3,1,3,0,-0.19900000000000007
203,203,12,2,1,2,1,-0.44699999999999995
204,204,12,4,1,1,0,-1.5679999999999998
205,205,30,4,1,4,0,-0.371
206,206,12,4,1,1,0,-1.5679999999999998
207,207,12,4,1,2,0,-1.379
208,208,24,2,1,3,0,0.16199999999999998
209,209,12,2,4,2,0,-1.3860000000000001
210,210,9,4,5,1,0,-2.925
211,211,36,2,5,1,0,-1.0479999999999996
212,212,27,0,1,2,1,1.0100000000000002
213,213,30,3,1,1,1,-0.47200000000000003
214,214,36,4,5,3,0,-1.6019999999999996
215,215,6,4,5,2,0,-2.841
216,216,18,0,1,2,0,0.6950000000000001
217,217,36,2,1,1,0,0.20400000000000018
218,218,24,2,1,1,0,-0.21599999999999997
219,219,10,2,1,3,0,-0.32800000000000007
220,220,12,2,1,1,0,-0.6359999999999999
221,221,12,2,5,2,0,-1.6989999999999998
222,222,12,2,1,1,0,-0.6359999999999999
223,223,24,3,5,1,0,-1.9340000000000002
224,224,15,2,1,3,0,-0.15300000000000002
225,225,36,0,1,3,0,1.5140000000000002
226,226,48,2,4,4,1,0.2520000000000001
227,227,12,2,1,4,1,-0.06899999999999995
228,228,9,2,1,3,1,-0.363
229,229,24,2,1,4,0,0.35100000000000003
230,230,36,2,1,3,1,0.5820000000000001
231,231,9,2,3,4,0,-0.8
232,232,12,2,2,4,0,-0.3819999999999999
233,233,18,2,1,1,0,-0.426
234,234,4,4,1,1,0,-1.8480000000000003
235,235,24,2,1,3,1,0.16199999999999998
236,236,6,2,5,2,1,-1.9089999999999998
237,237,21,2,2,3,1,-0.256
238,238,12,4,1,2,0,-1.379
239,239,30,2,1,2,0,0.183
240,240,24,2,5,3,1,-1.09
241,241,6,2,1,2,0,-0.6569999999999999
242,242,48,0,1,4,1,2.123
243,243,12,4,1,1,0,-1.5679999999999998
244,244,12,1,3,1,0,-0.796
245,245,24,2,1,1,0,-0.21599999999999997
246,246,12,4,1,1,0,-1.5679999999999998
247,247,6,0,2,4,0,0.34
248,248,24,2,1,1,0,-0.21599999999999997
249,249,18,2,1,1,1,-0.426
250,250,6,4,4,1,0,-2.717
251,251,12,2,1,3,0,-0.258
252,252,30,2,1,4,1,0.5609999999999999
253,253,24,3,2,2,0,-0.8060000000000002
254,254,9,2,5,3,0,-1.615
255,255,60,3,5,1,0,-0.6739999999999999
256,256,24,4,1,1,0,-1.148
