X2,X3,X4,X6,X13,"Y(1=default, 0=non-default)"
22.08,11.46,2,4,100,1
22.67,7.0,2,4,160,1
29.58,1.75,1,4,280,1
21.67,11.5,1,3,0,0
20.17,8.17,2,4,60,0
15.83,0.585,2,8,100,0
17.42,6.5,2,4,60,1
58.67,4.46,2,8,43,0
27.83,1.0,1,8,176,1
55.75,7.08,2,8,100,1
33.5,1.75,2,8,253,0
41.42,5.0,2,8,470,0
20.67,1.25,1,8,140,1
34.92,5.0,2,8,0,0
58.58,2.71,2,4,320,1
48.08,6.04,2,4,0,0
29.58,4.5,2,4,330,0
18.92,9.0,2,4,88,0
20.0,1.25,1,4,140,1
22.42,5.665,2,4,129,0
28.17,0.585,2,4,260,1
19.17,0.585,1,4,160,1
41.17,1.335,2,4,168,1
41.58,1.75,2,4,160,1
19.5,9.585,2,4,80,1
32.75,1.5,2,8,0,0
22.5,0.125,1,4,200,1
33.17,3.04,1,8,180,0
30.67,12.0,2,4,220,0
23.08,2.5,2,4,60,0
27.0,0.75,2,8,312,0
20.42,10.5,1,8,154,1
52.33,1.375,1,8,200,1
23.08,11.5,2,8,290,0
42.83,1.25,2,4,352,1
74.83,19.0,1,1,0,1
25.0,12.5,2,4,20,0
39.58,13.915,2,4,70,0
47.75,8.0,2,4,0,0
47.42,3.0,2,4,519,0
23.17,0.0,2,4,0,0
22.58,1.5,1,4,120,1
26.75,1.125,2,8,0,0
63.33,0.54,2,4,180,1
23.75,0.415,1,4,128,1
20.75,10.25,2,4,49,0
24.5,1.75,1,4,132,1
16.17,0.04,2,4,0,0
29.5,2.0,1,8,256,1
52.83,15.0,2,4,0,0
32.33,3.5,2,4,232,1
21.08,4.125,1,8,140,1
28.17,0.125,1,4,216,1
19.0,1.75,1,4,112,1
27.58,3.25,1,8,369,1
27.83,1.5,2,4,434,0
40.0,6.5,2,5,0,0
37.33,2.5,2,8,260,1
42.5,4.915,1,4,52,0
56.75,12.25,2,4,200,0
43.17,5.0,2,5,141,1
23.75,0.71,2,4,240,1
18.5,2.0,2,4,120,0
40.83,3.5,2,5,1160,1
24.5,0.5,2,8,280,0
42.0,9.79,2,8,0,0
19.5,0.165,2,4,380,1
21.5,11.5,2,4,100,1
31.25,2.835,2,1,176,1
27.25,1.585,2,8,583,0
48.75,26.335,1,1,0,1
30.42,1.375,2,8,0,1
29.42,1.25,2,4,200,1
28.25,5.04,1,5,144,0
40.25,21.5,2,9,0,0
36.5,4.25,2,4,454,1
25.58,0.335,2,8,340,1
29.83,3.5,2,4,216,1
23.08,0.0,2,4,0,1
32.17,1.46,2,4,120,0
25.17,3.5,2,4,0,0
35.17,3.75,2,1,0,1
18.58,10.0,2,4,80,1
39.92,5.0,2,5,550,1
23.42,1.0,2,4,280,1
37.58,0.0,2,4,184,0
24.75,13.665,2,8,280,1
47.0,13.0,2,5,0,0
34.17,5.25,2,4,290,0
22.17,0.585,1,1,100,1
27.75,1.29,2,8,140,1
42.75,4.085,2,4,108,1
28.67,14.5,2,4,0,1
36.25,5.0,2,5,0,0
18.17,10.0,1,8,340,1
21.25,1.5,2,4,150,0
38.92,1.665,2,4,0,1
31.83,0.04,1,4,0,1
17.33,9.5,2,4,0,1
20.42,0.835,2,4,0,0
39.08,4.0,2,4,480,1
38.67,0.21,2,4,280,0
27.67,13.75,2,4,487,0
27.75,0.585,1,4,260,0
19.0,0.0,1,1,45,1
25.0,0.875,2,8,160,0
27.67,2.0,2,8,140,0
22.25,9.0,2,4,0,1
49.83,13.585,2,8,0,0
32.33,2.5,2,4,280,1
38.25,10.125,1,4,160,1
47.33,6.5,2,4,0,1
27.83,4.0,1,8,75,1
35.75,0.915,2,4,0,0
33.58,0.25,2,5,420,1
34.08,0.08,1,5,280,0
20.75,10.335,2,8,80,0
33.17,1.0,2,4,340,0
22.75,11.0,2,4,100,0
48.75,8.5,2,8,181,0
40.58,5.0,2,4,0,0
20.67,0.835,1,4,240,1
38.75,1.5,2,1,76,1
57.08,19.5,2,4,0,0
31.25,3.75,2,8,181,0
22.0,0.79,2,4,420,1
58.33,10.0,2,4,0,0
28.92,0.375,2,4,220,1
46.0,4.0,2,3,100,0
21.0,3.0,1,4,160,0
24.75,12.5,2,4,120,0
20.83,0.5,1,2,260,1
24.58,13.5,1,1,184,1
26.5,2.71,1,4,80,1
40.92,0.835,2,1,130,1
