year,cost
1980,41058.8
1981,3133.3
1982,13661.6
1983,22902.8
1984,2893.1
1985,20264.8
1986,6049.1
1988,49009.7
1989,36270.6
1990,13129.400000000001
1991,17626.6
1992,71870.4
1993,59109.2
1994,14893.9
1995,31966.6
1996,19689.7
1997,15422.099999999999
1998,32801.9
1999,22046.0
2000,13978.0
2001,19575.2
2002,24458.6
2003,34533.4
2004,82880.4
2005,240564.5
2006,22678.0
2007,16939.199999999997
2008,84622.3
2009,17826.2
2010,18133.4
2011,88181.3
2012,143234.9
2013,29046.1
2014,21901.2
2015,27797.6
2016,55055.3
2017,354704.7
2018,103344.7
2019,49928.1
2020,108673.1
2021,148035.6
